item_id,order_id,product_id,quantity,unit_price,returned
ITEM000000,ORD000000,P0288,7,114.43,True
ITEM000001,ORD000000,P0010,2,297.42,False
ITEM000002,ORD000000,P0269,4,127.14,False
ITEM000003,ORD000001,P0031,5,56.48,False
ITEM000004,ORD000002,P0044,4,316.66,True
ITEM000005,ORD000003,P0226,7,430.17,True
ITEM000006,ORD000004,P0002,7,352.91,True
ITEM000007,ORD000004,P0198,7,280.4,False
ITEM000008,ORD000004,P0211,5,399.11,True
ITEM000009,ORD000004,P0015,8,67.61,False
ITEM000010,ORD000005,P0036,2,269.6,False
ITEM000011,ORD000005,P0071,4,391.47,False
ITEM000012,ORD000005,P0131,1,166.65,False
ITEM000013,ORD000005,P0072,5,251.74,False
ITEM000014,ORD000005,P0087,2,396.49,False
ITEM000015,ORD000006,P0206,3,17.67,True
ITEM000016,ORD000006,P0208,1,475.42,False
ITEM000017,ORD000007,P0150,2,241.15,True
ITEM000018,ORD000007,P0099,2,447.67,True
ITEM000019,ORD000007,P0032,8,32.67,False
ITEM000020,ORD000007,P0216,7,125.18,False
ITEM000021,ORD000007,P0068,2,350.29,False
ITEM000022,ORD000008,P0294,4,421.94,False
ITEM000023,ORD000008,P0026,5,243.3,False
ITEM000024,ORD000008,P0233,2,414.35,True
ITEM000025,ORD000008,P0213,6,197.2,False
ITEM000026,ORD000008,P0196,5,54.91,False
ITEM000027,ORD000009,P0202,7,212.7,True
ITEM000028,ORD000009,P0171,8,387.66,True
ITEM000029,ORD000009,P0042,2,74.47,False
ITEM000030,ORD000010,P0053,1,347.83,True
ITEM000031,ORD000011,P0291,7,247.81,True
ITEM000032,ORD000011,P0209,3,183.96,False
ITEM000033,ORD000011,P0070,6,232.91,True
ITEM000034,ORD000012,P0014,4,97.83,False
ITEM000035,ORD000012,P0274,1,421.04,False
ITEM000036,ORD000012,P0033,7,337.79,True
ITEM000037,ORD000013,P0129,4,143.73,True
ITEM000038,ORD000014,P0253,6,112.36,True
ITEM000039,ORD000014,P0001,2,357.42,True
ITEM000040,ORD000015,P0278,4,9.75,True
ITEM000041,ORD000015,P0143,1,28.48,False
ITEM000042,ORD000015,P0215,6,279.3,True
ITEM000043,ORD000015,P0054,5,25.98,False
ITEM000044,ORD000015,P0221,6,369.21,True
ITEM000045,ORD000016,P0230,8,23.45,True
ITEM000046,ORD000016,P0166,1,75.8,False
ITEM000047,ORD000016,P0288,1,139.26,True
ITEM000048,ORD000017,P0034,2,260.59,True
ITEM000049,ORD000017,P0267,7,441.04,True
ITEM000050,ORD000017,P0194,3,207.24,False
ITEM000051,ORD000017,P0040,7,351.73,False
ITEM000052,ORD000018,P0243,2,230.43,False
ITEM000053,ORD000018,P0162,3,300.87,False
ITEM000054,ORD000018,P0092,7,313.28,False
ITEM000055,ORD000018,P0139,8,462.94,True
ITEM000056,ORD000019,P0049,3,132.62,True
ITEM000057,ORD000019,P0227,8,22.55,True
ITEM000058,ORD000019,P0273,8,172.23,False
ITEM000059,ORD000020,P0164,7,85.7,False
ITEM000060,ORD000021,P0041,7,223.74,False
ITEM000061,ORD000021,P0012,2,116.74,True
ITEM000062,ORD000021,P0295,4,265.15,True
ITEM000063,ORD000021,P0224,5,419.77,True
ITEM000064,ORD000021,P0152,3,15.87,True
ITEM000065,ORD000022,P0275,5,109.84,True
ITEM000066,ORD000022,P0279,2,468.13,False
ITEM000067,ORD000022,P0008,5,198.25,False
ITEM000068,ORD000023,P0272,7,345.23,True
ITEM000069,ORD000023,P0183,8,463.86,True
ITEM000070,ORD000023,P0110,7,333.28,False
ITEM000071,ORD000023,P0116,4,28.47,True
ITEM000072,ORD000024,P0156,6,389.4,False
ITEM000073,ORD000024,P0203,5,402.72,True
ITEM000074,ORD000025,P0032,1,433.31,False
ITEM000075,ORD000025,P0151,7,283.25,True
ITEM000076,ORD000026,P0235,4,33.33,False
ITEM000077,ORD000026,P0289,1,288.58,True
ITEM000078,ORD000026,P0292,5,201.41,False
ITEM000079,ORD000026,P0034,8,14.5,False
ITEM000080,ORD000027,P0047,1,111.62,False
ITEM000081,ORD000028,P0083,6,243.81,False
ITEM000082,ORD000028,P0068,2,33.09,True
ITEM000083,ORD000028,P0072,1,176.49,False
ITEM000084,ORD000028,P0191,1,16.87,True
ITEM000085,ORD000029,P0152,5,41.48,False
ITEM000086,ORD000029,P0195,4,25.43,False
ITEM000087,ORD000029,P0229,3,250.95,False
ITEM000088,ORD000030,P0095,1,86.06,False
ITEM000089,ORD000030,P0163,3,412.08,True
ITEM000090,ORD000031,P0011,6,100.97,True
ITEM000091,ORD000031,P0060,4,322.82,False
ITEM000092,ORD000031,P0014,8,96.44,True
ITEM000093,ORD000031,P0078,5,262.11,True
ITEM000094,ORD000031,P0072,4,325.79,False
ITEM000095,ORD000032,P0215,8,240.55,False
ITEM000096,ORD000032,P0192,7,433.35,False
ITEM000097,ORD000032,P0104,3,142.26,False
ITEM000098,ORD000033,P0144,3,212.19,True
ITEM000099,ORD000033,P0249,8,182.71,False
ITEM000100,ORD000033,P0223,6,267.18,False
ITEM000101,ORD000033,P0281,6,200.27,False
ITEM000102,ORD000033,P0187,2,388.99,True
ITEM000103,ORD000034,P0070,8,286.07,False
ITEM000104,ORD000034,P0197,3,424.49,False
ITEM000105,ORD000034,P0046,7,176.21,True
ITEM000106,ORD000035,P0251,4,166.49,True
ITEM000107,ORD000035,P0281,8,242.87,False
ITEM000108,ORD000035,P0123,5,496.96,True
ITEM000109,ORD000035,P0140,5,282.1,False
ITEM000110,ORD000035,P0248,8,153.79,False
ITEM000111,ORD000036,P0299,8,331.17,True
ITEM000112,ORD000036,P0009,4,38.32,False
ITEM000113,ORD000037,P0254,8,437.47,False
ITEM000114,ORD000037,P0028,7,335.35,False
ITEM000115,ORD000038,P0144,3,476.06,False
ITEM000116,ORD000038,P0015,6,237.98,False
ITEM000117,ORD000038,P0206,3,76.4,True
ITEM000118,ORD000038,P0207,4,134.62,False
ITEM000119,ORD000039,P0047,7,429.49,True
ITEM000120,ORD000039,P0177,4,47.52,True
ITEM000121,ORD000039,P0150,2,339.95,True
ITEM000122,ORD000040,P0064,8,313.65,False
ITEM000123,ORD000040,P0260,7,160.89,True
ITEM000124,ORD000040,P0129,7,419.87,True
ITEM000125,ORD000040,P0052,8,11.97,False
ITEM000126,ORD000040,P0290,4,308.97,False
ITEM000127,ORD000041,P0054,6,187.95,True
ITEM000128,ORD000042,P0198,5,43.53,True
ITEM000129,ORD000042,P0134,7,478.62,False
ITEM000130,ORD000043,P0078,6,360.54,False
ITEM000131,ORD000043,P0100,6,61.8,True
ITEM000132,ORD000043,P0071,1,470.64,True
ITEM000133,ORD000044,P0237,2,45.86,True
ITEM000134,ORD000044,P0256,1,34.63,True
ITEM000135,ORD000045,P0265,1,20.78,False
ITEM000136,ORD000045,P0226,6,408.69,False
ITEM000137,ORD000045,P0184,8,343.8,True
ITEM000138,ORD000046,P0110,3,282.4,True
ITEM000139,ORD000046,P0034,4,68.06,True
ITEM000140,ORD000046,P0281,4,210.87,False
ITEM000141,ORD000047,P0264,4,182.37,True
ITEM000142,ORD000047,P0268,5,198.07,False
ITEM000143,ORD000047,P0105,3,290.93,False
ITEM000144,ORD000047,P0161,5,379.69,False
ITEM000145,ORD000047,P0072,8,57.98,True
ITEM000146,ORD000048,P0027,3,133.41,False
ITEM000147,ORD000048,P0200,5,177.11,True
ITEM000148,ORD000048,P0031,7,202.62,True
ITEM000149,ORD000048,P0293,5,236.35,True
ITEM000150,ORD000049,P0213,3,461.35,False
ITEM000151,ORD000050,P0207,6,253.51,False
ITEM000152,ORD000050,P0090,5,137.62,False
ITEM000153,ORD000050,P0199,4,45.64,False
ITEM000154,ORD000051,P0021,3,231.97,True
ITEM000155,ORD000051,P0290,1,296.5,True
ITEM000156,ORD000052,P0073,3,23.84,True
ITEM000157,ORD000053,P0049,3,324.49,False
ITEM000158,ORD000053,P0040,4,194.72,False
ITEM000159,ORD000053,P0016,6,148.87,True
ITEM000160,ORD000054,P0169,3,498.14,False
ITEM000161,ORD000054,P0004,1,384.37,False
ITEM000162,ORD000054,P0255,8,189.04,True
ITEM000163,ORD000054,P0023,4,92.07,False
ITEM000164,ORD000055,P0243,4,147.03,False
ITEM000165,ORD000056,P0146,4,84.58,False
ITEM000166,ORD000056,P0131,5,213.99,True
ITEM000167,ORD000056,P0039,1,409.43,True
ITEM000168,ORD000056,P0071,4,492.27,False
ITEM000169,ORD000056,P0131,4,226.06,False
ITEM000170,ORD000057,P0120,1,374.76,False
ITEM000171,ORD000057,P0275,3,43.19,False
ITEM000172,ORD000057,P0142,6,303.24,False
ITEM000173,ORD000057,P0279,3,73.61,True
ITEM000174,ORD000058,P0069,2,78.88,False
ITEM000175,ORD000059,P0256,4,369.05,True
ITEM000176,ORD000059,P0105,1,241.21,True
ITEM000177,ORD000059,P0136,2,68.17,False
ITEM000178,ORD000059,P0239,1,333.18,False
ITEM000179,ORD000059,P0029,8,251.62,True
ITEM000180,ORD000060,P0129,6,153.72,False
ITEM000181,ORD000060,P0166,8,39.35,True
ITEM000182,ORD000060,P0056,6,405.09,False
ITEM000183,ORD000061,P0249,4,62.97,True
ITEM000184,ORD000061,P0066,5,82.87,False
ITEM000185,ORD000061,P0162,7,443.59,False
ITEM000186,ORD000061,P0218,5,188.74,True
ITEM000187,ORD000061,P0050,1,401.16,True
ITEM000188,ORD000062,P0177,6,254.2,False
ITEM000189,ORD000062,P0069,7,99.25,True
ITEM000190,ORD000063,P0179,1,420.03,False
ITEM000191,ORD000063,P0036,3,197.49,True
ITEM000192,ORD000063,P0056,1,90.63,False
ITEM000193,ORD000063,P0083,1,246.86,False
ITEM000194,ORD000064,P0157,8,25.72,False
ITEM000195,ORD000064,P0296,1,365.43,True
ITEM000196,ORD000064,P0288,7,333.2,False
ITEM000197,ORD000064,P0112,4,176.02,True
ITEM000198,ORD000065,P0297,6,395.16,True
ITEM000199,ORD000065,P0037,2,431.71,False
ITEM000200,ORD000066,P0022,1,24.84,True
ITEM000201,ORD000067,P0065,1,182.68,True
ITEM000202,ORD000067,P0085,1,273.19,True
ITEM000203,ORD000068,P0183,7,493.01,True
ITEM000204,ORD000068,P0270,1,149.28,False
ITEM000205,ORD000068,P0036,8,62.69,True
ITEM000206,ORD000068,P0047,5,237.73,True
ITEM000207,ORD000068,P0134,8,413.1,True
ITEM000208,ORD000069,P0249,4,286.03,False
ITEM000209,ORD000070,P0165,1,369.43,False
ITEM000210,ORD000070,P0236,7,390.53,True
ITEM000211,ORD000070,P0238,4,64.95,True
ITEM000212,ORD000070,P0122,6,31.34,False
ITEM000213,ORD000071,P0007,7,412.05,True
ITEM000214,ORD000071,P0064,8,393.37,True
ITEM000215,ORD000071,P0178,3,422.94,False
ITEM000216,ORD000072,P0218,5,390.07,False
ITEM000217,ORD000073,P0153,7,270.75,False
ITEM000218,ORD000073,P0239,7,387.76,False
ITEM000219,ORD000073,P0210,2,142.64,False
ITEM000220,ORD000073,P0004,1,7.5,True
ITEM000221,ORD000074,P0108,8,135.23,False
ITEM000222,ORD000075,P0138,8,367.17,True
ITEM000223,ORD000075,P0243,4,256.28,True
ITEM000224,ORD000075,P0097,3,77.9,True
ITEM000225,ORD000075,P0114,8,216.61,True
ITEM000226,ORD000075,P0072,4,361.74,False
ITEM000227,ORD000076,P0022,2,174.44,True
ITEM000228,ORD000076,P0241,8,205.41,False
ITEM000229,ORD000076,P0275,7,499.35,False
ITEM000230,ORD000077,P0021,1,22.69,False
ITEM000231,ORD000078,P0044,2,267.19,False
ITEM000232,ORD000078,P0083,5,252.29,True
ITEM000233,ORD000078,P0110,4,478.75,True
ITEM000234,ORD000078,P0146,1,68.56,False
ITEM000235,ORD000078,P0115,2,479.76,False
ITEM000236,ORD000079,P0269,1,326.01,False
ITEM000237,ORD000079,P0189,8,387.3,False
ITEM000238,ORD000079,P0168,2,473.73,True
ITEM000239,ORD000080,P0260,4,369.02,True
ITEM000240,ORD000081,P0251,1,334.32,False
ITEM000241,ORD000081,P0140,5,197.14,False
ITEM000242,ORD000082,P0053,4,317.35,True
ITEM000243,ORD000083,P0259,6,358.88,False
ITEM000244,ORD000083,P0055,5,92.6,True
ITEM000245,ORD000084,P0206,5,495.45,False
ITEM000246,ORD000084,P0023,2,237.62,False
ITEM000247,ORD000085,P0117,8,332.25,True
ITEM000248,ORD000085,P0024,7,183.87,False
ITEM000249,ORD000086,P0177,5,396.02,False
ITEM000250,ORD000087,P0094,8,290.91,True
ITEM000251,ORD000088,P0273,3,439.81,True
ITEM000252,ORD000089,P0239,6,212.11,True
ITEM000253,ORD000089,P0222,1,153.84,False
ITEM000254,ORD000089,P0198,1,307.31,False
ITEM000255,ORD000089,P0196,7,432.61,True
ITEM000256,ORD000090,P0284,3,277.57,True
ITEM000257,ORD000091,P0008,8,160.04,False
ITEM000258,ORD000092,P0112,6,283.23,True
ITEM000259,ORD000092,P0011,8,164.28,True
ITEM000260,ORD000092,P0193,4,60.88,False
ITEM000261,ORD000093,P0068,7,494.3,True
ITEM000262,ORD000093,P0264,7,64.44,False
ITEM000263,ORD000093,P0163,7,275.01,True
ITEM000264,ORD000093,P0128,6,331.49,False
ITEM000265,ORD000093,P0143,3,90.41,False
ITEM000266,ORD000094,P0293,3,172.47,False
ITEM000267,ORD000094,P0270,4,31.96,True
ITEM000268,ORD000094,P0179,1,333.61,False
ITEM000269,ORD000094,P0188,7,315.06,True
ITEM000270,ORD000094,P0130,5,310.47,True
ITEM000271,ORD000095,P0265,6,422.19,False
ITEM000272,ORD000095,P0285,4,461.04,True
ITEM000273,ORD000095,P0225,3,468.21,False
ITEM000274,ORD000095,P0259,4,147.84,False
ITEM000275,ORD000095,P0298,4,73.15,True
ITEM000276,ORD000096,P0045,7,332.76,True
ITEM000277,ORD000096,P0251,8,334.41,True
ITEM000278,ORD000096,P0003,4,145.82,True
ITEM000279,ORD000096,P0027,8,436.5,False
ITEM000280,ORD000096,P0033,8,158.9,False
ITEM000281,ORD000097,P0054,8,315.18,True
ITEM000282,ORD000097,P0257,5,321.22,True
ITEM000283,ORD000097,P0009,1,18.99,True
ITEM000284,ORD000098,P0116,4,34.2,True
ITEM000285,ORD000099,P0141,1,131.36,True
ITEM000286,ORD000100,P0047,4,418.16,True
ITEM000287,ORD000101,P0181,2,292.21,False
ITEM000288,ORD000102,P0075,5,147.85,False
ITEM000289,ORD000102,P0215,5,164.54,True
ITEM000290,ORD000102,P0265,5,216.01,True
ITEM000291,ORD000102,P0191,4,107.15,False
ITEM000292,ORD000103,P0226,5,246.26,True
ITEM000293,ORD000103,P0053,5,260.09,True
ITEM000294,ORD000103,P0094,1,433.53,True
ITEM000295,ORD000104,P0267,3,422.19,False
ITEM000296,ORD000104,P0177,7,65.04,False
ITEM000297,ORD000105,P0297,7,274.01,True
ITEM000298,ORD000105,P0069,7,204.57,True
ITEM000299,ORD000105,P0197,3,365.71,False
ITEM000300,ORD000105,P0231,1,339.16,False
ITEM000301,ORD000105,P0192,6,230.7,False
ITEM000302,ORD000106,P0217,6,420.74,False
ITEM000303,ORD000106,P0226,6,302.23,False
ITEM000304,ORD000106,P0251,7,243.79,True
