order_id,customer_id,order_date,status,channel,discount_pct,shipping_country
ORD000000,C01187,2023-06-29,completed,mobile,0.09,US
ORD000001,C01029,2022-11-03,refunded,store,0.1,GB
ORD000002,C01599,2022-08-12,pending,store,0.3,DE
ORD000003,C02880,2023-08-04,cancelled,web,0.34,DE
ORD000004,C01465,2022-06-28,refunded,mobile,0.07,GB
ORD000005,C00278,2022-03-14,refunded,mobile,0.01,AU
ORD000006,C00646,2023-12-26,completed,web,0.03,IN
ORD000007,C01179,2022-12-30,cancelled,web,0.22,US
ORD000008,C00306,2024-07-24,refunded,web,0.19,US
ORD000009,C02188,2024-02-24,completed,mobile,0.19,DE
ORD000010,C02356,2024-12-19,pending,web,0.25,CA
ORD000011,C00988,2022-09-07,completed,store,0.14,US
ORD000012,C02120,2024-12-08,cancelled,mobile,0.09,GB
ORD000013,C02503,2024-08-26,pending,mobile,0.35,CA
ORD000014,C02048,2022-05-04,cancelled,mobile,0.3,CA
ORD000015,C01278,2022-09-27,completed,web,0.11,AU
ORD000016,C01635,2024-09-05,pending,web,0.05,US
ORD000017,C02533,2022-01-14,cancelled,mobile,0.08,GB
ORD000018,C00232,2023-07-11,refunded,mobile,0.09,AU
ORD000019,C02236,2024-01-10,refunded,web,0.25,GB
ORD000020,C02857,2022-09-23,cancelled,store,0.05,CA
ORD000021,C00454,2023-04-27,refunded,store,0.05,CA
ORD000022,C02387,2024-11-19,pending,web,0.35,US
ORD000023,C01929,2024-12-14,pending,mobile,0.2,DE
ORD000024,C01077,2023-12-15,pending,web,0.18,US
ORD000025,C02675,2024-04-03,refunded,mobile,0.07,US
ORD000026,C00122,2022-11-30,refunded,store,0.18,GB
ORD000027,C00132,2022-10-08,cancelled,web,0.14,GB
ORD000028,C01384,2023-11-09,pending,web,0.27,IN
ORD000029,C01726,2024-05-26,completed,mobile,0.02,GB
ORD000030,C01068,2024-05-02,pending,mobile,0.4,IN
ORD000031,C00821,2022-04-30,cancelled,mobile,0.26,DE
ORD000032,C01370,2023-10-27,cancelled,mobile,0.21,DE
ORD000033,C00243,2024-11-03,cancelled,store,0.35,DE
ORD000034,C00570,2024-04-30,pending,web,0.07,DE
ORD000035,C00836,2024-07-10,cancelled,mobile,0.04,IN
ORD000036,C02240,2024-06-24,cancelled,mobile,0.37,CA
ORD000037,C01350,2023-07-27,pending,mobile,0.21,IN
ORD000038,C02717,2023-09-04,completed,store,0.17,US
ORD000039,C00255,2022-12-10,completed,mobile,0.01,DE
ORD000040,C00965,2022-10-11,pending,mobile,0.28,AU
ORD000041,C02021,2024-10-06,completed,mobile,0.08,IN
ORD000042,C00298,2023-11-23,refunded,web,0.09,DE
ORD000043,C02309,2024-11-10,cancelled,web,0.33,US
ORD000044,C02498,2023-11-22,pending,mobile,0.28,IN
ORD000045,C02879,2023-07-27,completed,store,0.21,AU
ORD000046,C00144,2023-11-27,pending,store,0.22,IN
ORD000047,C01416,2024-05-14,pending,web,0.2,DE
ORD000048,C00289,2024-01-15,cancelled,web,0.12,US
ORD000049,C01704,2023-10-12,refunded,mobile,0.32,IN
ORD000050,C02450,2023-08-13,completed,store,0.01,US
ORD000051,C02508,2022-12-31,pending,mobile,0.3,CA
ORD000052,C00330,2024-10-25,pending,store,0.27,AU
ORD000053,C02258,2022-09-21,pending,mobile,0.18,GB
ORD000054,C01961,2023-09-16,refunded,mobile,0.36,US
ORD000055,C00530,2022-09-01,pending,store,0.25,AU
ORD000056,C01108,2022-06-19,completed,web,0.35,DE
ORD000057,C02962,2024-05-26,refunded,store,0.31,AU
ORD000058,C00170,2023-11-12,cancelled,store,0.1,GB
ORD000059,C00426,2022-02-22,refunded,mobile,0.27,DE
ORD000060,C00145,2022-10-06,refunded,web,0.32,IN
ORD000061,C02034,2022-01-13,completed,mobile,0.12,CA
ORD000062,C02079,2022-03-22,cancelled,store,0.3,US
ORD000063,C00922,2022-03-29,pending,store,0.02,GB
ORD000064,C02663,2022-11-16,cancelled,web,0.15,IN
ORD000065,C01434,2023-09-21,pending,web,0.28,GB
ORD000066,C01767,2024-02-02,refunded,store,0.29,IN
ORD000067,C01956,2023-04-16,completed,mobile,0.1,DE
ORD000068,C01242,2023-04-21,cancelled,store,0.24,CA
ORD000069,C00932,2022-05-29,cancelled,web,0.21,AU
ORD000070,C00087,2023-04-30,cancelled,mobile,0.1,US
ORD000071,C00226,2022-09-26,cancelled,web,0.26,IN
ORD000072,C00107,2022-08-26,pending,web,0.02,US
ORD000073,C00803,2023-10-30,pending,mobile,0.4,US
ORD000074,C02188,2023-10-12,pending,web,0.37,AU
ORD000075,C02490,2022-05-22,cancelled,mobile,0.12,IN
ORD000076,C01553,2023-03-03,cancelled,mobile,0.03,US
ORD000077,C02793,2022-01-12,completed,store,0.17,US
ORD000078,C02800,2023-10-26,pending,mobile,0.27,US
ORD000079,C00074,2023-11-28,cancelled,store,0.26,GB
ORD000080,C02263,2024-09-11,refunded,mobile,0.24,DE
ORD000081,C01974,2022-03-11,cancelled,web,0.12,CA
ORD000082,C00213,2024-12-04,completed,web,0.3,DE
ORD000083,C01585,2023-02-22,pending,store,0.18,AU
ORD000084,C01545,2024-05-21,completed,store,0.18,US
ORD000085,C02848,2023-01-09,cancelled,store,0.27,IN
ORD000086,C00512,2022-07-25,refunded,mobile,0.03,AU
ORD000087,C01760,2023-08-05,refunded,store,0.4,GB
ORD000088,C02872,2023-09-14,cancelled,web,0.23,CA
ORD000089,C01748,2023-08-06,completed,web,0.31,IN
ORD000090,C02250,2024-11-30,refunded,mobile,0.09,GB
ORD000091,C00564,2024-12-10,cancelled,store,0.17,GB
