product_id,name,category,sub_category,price,cost,stock_qty,is_active
P0000,Open-architected discrete architecture,Beauty,Spring,171.98,146.15,89,False
P0001,Automated executive groupware,Clothing,Human,391.79,10.09,86,False
P0002,Multi-lateral exuding orchestration,Beauty,Decade,349.15,73.9,516,False
P0003,Profit-focused multi-tasking conglomeration,Home & Kitchen,Maintain,146.95,106.32,71,False
P0004,Proactive holistic contingency,Electronics,Travel,82.16,57.27,227,False
P0005,Organized eco-centric customer loyalty,Home & Kitchen,Provide,441.17,114.75,23,False
P0006,Assimilated demand-driven policy,Clothing,Above,20.9,96.51,696,False
P0007,Team-oriented client-driven archive,Clothing,Life,376.81,50.5,231,True
P0008,Operative stable database,Toys,Source,254.13,118.45,489,True
P0009,Fundamental system-worthy utilization,Books,Above,10.38,32.86,848,False
P0010,Business-focused global strategy,Beauty,Skill,417.18,241.97,404,True
P0011,Phased coherent initiative,Sports,Religious,341.55,228.68,202,False
P0012,Optimized even-keeled implementation,Clothing,Dark,438.61,104.41,509,False
P0013,Reduced content-based workforce,Electronics,Political,279.31,205.46,117,False
P0014,Reverse-engineered needs-based collaboration,Clothing,Policy,415.61,176.55,358,False
P0015,Polarized 3rdgeneration help-desk,Electronics,Whose,459.98,185.81,223,True
P0016,Future-proofed web-enabled help-desk,Books,Degree,253.43,3.89,843,True
P0017,Versatile mobile implementation,Clothing,Light,356.13,94.91,614,False
P0018,Customer-focused demand-driven conglomeration,Books,Difference,214.72,57.54,789,True
P0019,Integrated multi-tasking service-desk,Beauty,Black,82.62,72.33,550,False
P0020,Reactive methodical Graphical User Interface,Books,Customer,486.7,220.14,536,True
P0021,Re-contextualized modular methodology,Electronics,Development,263.14,67.6,889,False
P0022,Multi-layered multimedia Graphical User Interface,Beauty,Short,489.07,209.94,330,True
P0023,Triple-buffered discrete moderator,Sports,Fly,66.94,199.19,788,False
P0024,Configurable secondary protocol,Clothing,Month,109.87,104.85,977,False
P0025,Persistent background moratorium,Beauty,Many,311.43,61.91,329,False
P0026,Synergized tertiary budgetary management,Toys,Ground,113.36,225.25,735,True
P0027,Re-contextualized 5thgeneration paradigm,Toys,Mention,95.93,104.81,474,False
P0028,Re-engineered disintermediate adapter,Electronics,Occur,374.27,5.85,681,True
P0029,Re-engineered mobile utilization,Sports,East,281.85,40.04,167,False
P0030,Reduced cohesive adapter,Electronics,Treat,421.65,94.85,878,True
P0031,Ameliorated object-oriented hardware,Books,Statement,409.2,204.54,526,True
P0032,Digitized discrete infrastructure,Books,Establish,236.88,205.37,118,False
P0033,Multi-tiered stable toolset,Electronics,Enough,160.03,150.79,946,True
P0034,Centralized regional capability,Electronics,Medical,322.74,85.1,143,True
P0035,Proactive encompassing strategy,Toys,Deal,414.49,239.87,234,False
